Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",4851,9:139388896-139440314,1,Yes,34.3,yes,,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,,"L, E",Dom/Rec,"oncogene, TSG, fusion","T, Mis, O","TRB, SEC16A, GABBR2",,,"4851,ENSG00000148400.9,NOTCH1,P46531,TAN1"
NOTCH2,Notch homolog 2,4853,1:120454176-120612240,1,Yes,12,yes,,"marginal zone lymphoma, DLBCL, bladder",,,"L, E",Dom/Rec,"oncogene, TSG","N, F, Mis",,yes,"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome","4853,ENSG00000134250.13,NOTCH2,Q04721"
NRG1,neuregulin 1,3084,8:32405728-32622548,1,,12,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,CD74,,,"3084,ENSG00000157168.14,GGF,HGL,HRG,NDF,NRG1,NRG1-IT2,Q02297"
NTHL1,nth like DNA glycosylase 1,4913,16:2089816-2097867,2,,13.3,,yes,CRC,,Familial adenomatous polyposis,E,,TSG,"N, S",,,,"4913,ENSG00000065057.3,NTH1,NTHL1,OCTS3,P78549"
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",4914,1:156830686-156851434,1,,23.1,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,"oncogene, TSG, fusion","T, A","TPM3, TPR, TFG, TP53, LMNA",,,"4914,ENSG00000198400.7,MTC,NTRK1,P04629,TRK,TRKA"
PABPC1,poly(A) binding protein cytoplasmic 1,26986,8:101715144-101734940,2,,22.3,yes,,"HNSCC, biliary tract carcinoma",,,E,,"oncogene, TSG","Mis, F",,,,"26986,ENSG00000070756.9,P11940,PAB1,PABP1,PABPC1,PABPC2,PABPL1"
PALB2,partner and localizer of BRCA2,79728,16:23614491-23652631,1,,12.2,,yes,,"Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L, O, E",Rec,TSG,"F, N, Mis",,,,"79728,ENSG00000083093.5,FANCN,FLJ21816,PALB2,Q86YC2"
PATZ1,zinc finger protein 278 (ZSG),23598,22:31721790-31742218,1,,12.2,yes,,Ewing sarcoma,,,M,Dom,"TSG, fusion",T,EWSR1,,,"23598,ENSG00000100105.13,MAZR,PATZ,PATZ1,Q9HBE1,RIAZ,ZBTB19,ZNF278,ZSG,dJ400N23"
PAX5,paired box gene 5 (B-cell lineage specific activator protein),5079,9:36833272-37034103,1,Yes,13.2,yes,,"NHL, ALL, B-ALL",,,L,Dom,"oncogene, TSG, fusion","T, Mis, D, F, S","IGH, ETV6, PML, FOXP1, ZNF521, ELN",,,"5079,BSAP,ENSG00000196092.8,PAX5,Q02548"
PBRM1,polybromo 1,55193,3:52581857-52719852,1,Yes,21.1,yes,,"clear cell renal carcinoma, breast",,,E,Rec,TSG,"Mis, N, F, S, D, O",,,,"55193,BAF180,ENSG00000163939.14,PB1,PBRM1,Q86U86"
PER1,period homolog 1 (Drosophila),5187,17:8043790-8055753,1,Yes,13.1,yes,,"AML, CMML",,,L,Dom,"TSG, fusion",T,ETV6,,,"5187,ENSG00000179094.9,O15534,PER,PER1,RIGUI"
PHF6,PHD finger protein 6,84295,X:133507342-133562819,1,,26.2,yes,,ETP ALL,,,L,Rec,TSG,"F, N, S, Mis",,yes,Boerjeson-Forssman-Lehmann syndrome,"84295,BFLS,BORJ,CENP-31,ENSG00000156531.12,KIAA1823,MGC14797,PHF6,Q8IWS0"
PHOX2B,paired-like homeobox 2b,8929,4:41746099-41750987,1,Yes,13,yes,yes,neuroblastoma,neuroblastoma,familial neuroblastoma,O,Rec,TSG,"Mis, F",,yes,Congenital central hypoventilation syndrome,"8929,ENSG00000109132.5,NBPhox,PHOX2B,PMX2B,Phox2b,Q99453"
PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",5295,5:67511548-67597649,1,Yes,13.1,yes,,"glioblastoma, ovarian, colorectal",,,"E, O",Rec,TSG,"Mis, F, O",,,,"5295,ENSG00000145675.10,GRB1,P27986,PIK3R1,p85,p85-ALPHA"
PML,promyelocytic leukemia,5371,15:74287058-74339112,1,,24.1,yes,,"APL, ALL",,,L,Dom,"TSG, fusion",T,"RARA, PAX5",,,"5371,ENSG00000140464.15,MYL,P29590,PML,RNF71,TRIM19"
PMS2,PMS2 postmeiotic segregation increased 2 (S. cerevisiae),5395,7:6012870-6048756,1,Yes,22.1,,yes,,"colorectal, endometrial, ovarian, medulloblastoma, glioma","hereditary non-polyposis colorectal cancer, Turcot syndrome",E,Rec,TSG,"Mis, N, F",,,,"5395,ENSG00000122512.10,HNPCC4,H_DJ0042M02.9,MLH4,P54278,PMS2,PMSL2"
POLD1,"DNA polymerase delta 1, catalytic subunit",5424,19:50887596-50921271,1,,13.33,yes,yes,CRC,CRC,Lynch syndrome,E,,TSG,Mis,,,,"5424,CDC2,ENSG00000062822.8,P28340,POLD,POLD1"
POLE,"polymerase (DNA directed), epsilon, catalytic subunit",5426,12:133200348-133263945,1,,24.33,yes,yes,"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer",colorectal cancer susceptibility,,E,Rec,TSG,Mis,,yes,FILS syndrome,"5426,ENSG00000177084.12,POLE,POLE1,Q07864"
POLG,"DNA polymerase gamma, catalytic subunit",5428,15:89859534-89878078,2,,26.1,yes,,CRC,,,E,,TSG,"N, O",,yes,mitochondrial DNA depletion syndrome,"5428,ENSG00000140521.7,P54098,POLG,POLG1,POLGA"
POLQ,DNA polymerase theta,10721,3:121150278-121264853,1,,13.33,yes,yes,oral SCC,breast cancer,,E,,"oncogene, TSG",Mis,,,,"10721,ENSG00000051341.9,O75417,POLH,POLQ"
POT1,protection of telomeres 1,25913,7:124462440-124570035,1,Yes,31.33,yes,,CLL,,,L,Dom,TSG,"Mis, N",,,,"25913,DKFZp586D211,ENSG00000128513.10,POT1,Q9NUX5,hPot1"
PPARG,"peroxisome proliferative activated receptor, gamma",5468,3:12392971-12475855,1,Yes,25.2,yes,,follicular thyroid,,,E,Dom,"TSG, fusion",T,PAX8,yes,"Insulin resistance ; lipodystrophy, familial partial L;diabetes mellitus, insulin-resistantI, with acanthosis nigricans and hypertension","5468,ENSG00000132170.15,NR1C3,P37231,PPARG,PPARG1,PPARG2,PPARgamma"
PPP2R1A,"protein phosphatase 2, regulatory subunit A, alpha",5518,19:52693292-52730687,1,,13.41,yes,,clear cell ovarian carcinoma,,,E,Dom,TSG,Mis,,,,"5518,ENSG00000105568.13,P30153,PP2A-Aalpha,PP2AA,PPP2R1A,PR65A"
PPP6C,"protein phosphatase 6, catalytic subunit",5537,9:127908853-127952218,1,Yes,33.3,yes,,melanoma,,,E,Dom,TSG,"Mis, N",,,,"5537,ENSG00000119414.7,O00743,PP6,PPP6C"
PRDM1,"PR domain containing 1, with ZNF domain",639,6:106534195-106557813,1,,21,yes,,DLBCL,,,L,Rec,TSG,"D, N, Mis, F, S",,,,"639,BLIMP1,ENSG00000057657.10,O75626,PRDI-BF1,PRDM1"
PRDM2,PR/SET domain 2,7799,1:14031350-14151574,2,,36.21,yes,,"glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC",,,"E, O",,TSG,"O, F",,,,"7799,ENSG00000116731.18,HUMHOXY1,KMT8,KMT8A,MTB-ZF,PRDM2,Q13029,RIZ,RIZ1,RIZ2"
PRF1,perforin 1 (pore forming protein),5551,10:72357105-72362531,1,,22.1,,yes,,"various leukaemia, lymphoma",,L,Rec,TSG,M,,yes,Type 2 familial haemophagocytic lymphohistiocytosis,"5551,ENSG00000180644.6,HPLH2,P1,P14222,PFP,PRF1"
PRKAR1A,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)",5573,17:66508568-66529572,1,Yes,24.2,yes,yes,papillary thyroid,"myxoma, endocrine, papillary thyroid",Carney complex,"E, M",Dom/Rec,"oncogene, TSG, fusion","T, Mis, N, F, S",RET,,,"5573,CNC1,ENSG00000108946.10,P10644,PRKAR1,PRKAR1A,TSE1"
PTCH1,Homolog of Drosophila Patched gene,5727,9:98205262-98270943,1,,22.32,yes,yes,"skin basal cell, medulloblastoma","skin basal cell, medulloblastoma",nevoid basal cell carcinoma syndrome,"E, M",Rec,TSG,"Mis, N, F, S",,,,"5727,BCNS,ENSG00000185920.11,NBCCS,PTCH,PTCH1,Q13635"
PTEN,phosphatase and tensin homolog gene,5728,10:89622870-89731687,1,Yes,23.31,yes,yes,"glioma, prostate, endometrial","harmartoma, glioma, prostate, endometrial","Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome","L, E, M, O",Dom,TSG,"D, Mis, N, F, S",,,,"5728,BZS,ENSG00000171862.5,MHAM,MMAC1,P60484,PTEN,PTEN1,TEP1"
PTK6,protein tyrosine kinase 6,5753,20:62159778-62168695,1,Yes,13.33,yes,,"renal, gastric, head and neck, ovarian, others",,,E,Dom,"oncogene, TSG","Mis, N",,,,"5753,BRK,ENSG00000101213.5,PTK6,Q13882"
PTPN13,"protein tyrosine phosphatase, non-receptor type 13",5783,4:87515468-87736324,1,Yes,21.3,yes,yes,"lung, NSCLC, gastric, peritoneal carcinomatosis",hepatocellular,Familial Hepatocellular Carcinoma,E,Rec,TSG,"Mis, N",,,,"5783,ENSG00000163629.8,PTP-BAS,PTP-BL,PTP1E,PTPL1,PTPN13,Q12923"
PTPN6,"protein tyrosine phosphatase, non-receptor type 6",5777,12:7060434-7070479,2,,13.31,yes,,DLBCL,,,L,,TSG,Mis,,,,"5777,ENSG00000111679.12,HCP,HCPH,P29350,PTP-1C,PTPN6,SHP-1,SHP1"
PTPRB,"protein tyrosine phosphatase, receptor type, B",5787,12:70910630-71031220,1,,15,yes,,angiosarcoma,,,E,Rec,TSG,"N, Mis, S, F",,,,"5787,ENSG00000127329.10,P23467,PTPB,PTPRB"
PTPRC,"protein tyrosine phosphatase, receptor type, C",5788,1:198608170-198726412,1,,32.1,yes,,T-ALL,,,L,Rec,TSG,"Mis, N, S",,,,"5788,CD45,ENSG00000081237.14,GP180,LCA,PTPRC,T200"
PTPRD,"protein tyrosine phosphatase, receptor type D",5789,9:8314246-10033790,2,,24.1,yes,,"lung cancer, kidney cancer, HNSCC, glioblastoma",,,"E, O",,TSG,"D, N, Mis",,,,"5789,ENSG00000153707.11,HPTP,P23468,PTPD,PTPRD"
PTPRK,"protein tyrosine phosphatase, receptor type, K",5796,6:128290122-128841728,1,,22.33,yes,,colorectal,,,E,Dom,"TSG, fusion",T,RSPO3,,,"5796,ENSG00000152894.10,PTPRK,Q15262,R-PTP-kappa"
PTPRT,"protein tyrosine phosphatase, receptor type T",11122,20:40701392-41818373,1,Yes,13.11,yes,,"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma",,,E,,TSG,"Mis, N",,,,"11122,ENSG00000196090.8,KIAA0283,O14522,PTPRT,RPTPrho"
QKI,"QKI, KH domain containing, RNA binding",9444,6:163835675-163999628,1,Yes,26,yes,,"angiocentric glioma, colorectal cancer",,,"E, O",Dom,"oncogene, TSG","Mis, F, T",MYB,,,"9444,ENSG00000112531.12,Q96PU8,QK3,QKI"
RAD17,RAD17 checkpoint clamp loader component,5884,5:68665633-68710628,2,,13.2,yes,,"lymphoma, colon cancer",,,"E, L",,TSG,D,,,,"5884,CCYC,ENSG00000152942.14,O75943,RAD17,RAD17Sp,Rad24"
RAD21,RAD21 homolog (S. pombe),5885,8:117858174-117887105,1,Yes,24.11,yes,,"AML, endometrium, colorectal, lung",,,"L, E",Rec,"oncogene, TSG","Mis, N, F",,yes,Cornelia de Lange syndrome-4,"5885,ENSG00000164754.8,KIAA0078,O60216,RAD21,SCC1,hHR21"
RAD51B,RAD51 paralog B,5890,14:68286525-69062713,1,,24.1,yes,,"lipoma, uterine leiomyoma",,,M,Dom,"TSG, fusion",T,HMGA2,,,"5890,ENSG00000182185.14,O15315,R51H2,RAD51B,RAD51L1,REC2,hREC2"
RANBP2,RAN binding protein 2,5903,2:109335937-109402267,1,Yes,12.3,yes,,inflammatory myofibroblastic tumour,,,M,Dom,"TSG, fusion",T,ALK,,,"5903,ADANE,ANE1,ENSG00000153201.11,NUP358,P49792,RANBP2"
RB1,retinoblastoma gene,5925,13:48877911-49056122,1,Yes,14.2,yes,yes,"retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma",familial retinoblastoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"5925,ENSG00000139687.9,OSRC,P06400,PPP1R130,RB,RB1"
RBM10,RNA binding motif protein 10,8241,X:47004268-47046210,1,Yes,11.23,yes,,lung adenocarcinoma,,,E,Rec/X,TSG,"Mis, F, N",,yes,TARP syndrome,"8241,DXS8237E,ENSG00000182872.11,GPATC9,GPATCH9,KIAA0122,P98175,RBM10,S1-1,ZRANB5"
RECQL4,RecQ protein-like 4,9401,8:145736667-145743210,1,Yes,24.3,,yes,,"osteosarcoma, skin basal cell, skin sqamous cell",Rothmund-Thompson syndrome,M,Rec,"oncogene, TSG","N, F, S",,,,"9401,ENSG00000160957.8,RECQL4,RecQ4"
RFWD3,ring finger and WD repeat domain 3,55159,16:74655292-74700779,2,,23.1,yes,yes,lung cancer,,Fanconi anemia W,E,,TSG,D,,,,"55159,ENSG00000168411.9,FANCW,FLJ10520,Q6PCD5,RFWD3,RNF201"
RHOA,ras homolog family member A,387,3:49396578-49449635,1,Yes,21.31,yes,,"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma",,,"E, L",Dom,"oncogene, TSG","Mis, F, O",,,,"387,ARH12,ARHA,ENSG00000067560.6,P61586,RHOA,RHOH12,Rho12,RhoA"
RHOH,ras homolog family member H,399,4:40198527-40248587,1,Yes,14,yes,,NHL,,,L,Dom,"TSG, fusion",T,BCL6,,,"399,ARHH,ENSG00000168421.8,Q15669,RHOH,RhoH,TTF"
RMI2,RecQ mediated genome instability 2,116028,16:11439288-11445619,1,,13.13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,CIITA,,,"116028,BLAP18,C16orf75,ENSG00000175643.7,MGC24665,Q96E14,RMI2"
RNF43,ring finger protein 43,54894,17:56431037-56494894,1,Yes,22,yes,,"cholangiocarcinoma, ovary, pancreas",,,E,Rec,TSG,"Mis, N, F, S",,,,"54894,DKFZp781H0392,ENSG00000108375.8,FLJ20315,Q68DV7,RNF43,URCC"
ROBO2,roundabout guidance receptor 2,6092,3:75955846-77696661,2,,12.3,yes,,"colorectal adenocarcinoma, melanoma",,,E,,TSG,F,,,,"6092,ENSG00000185008.13,KIAA1568,Q9HCK4,ROBO2"
RPL10,ribosomal protein L10,6134,X:153626571-153630680,1,,28,yes,,T-ALL,,,L,Dom,TSG,Mis,,,,"6134,DXS648,DXS648E,ENSG00000147403.12,FLJ23544,L10,NOV,P27635,QM,RPL10"
RPL22,ribosomal protein L22 (EAP),6146,1:6245080-6259672,1,,36.31,yes,,"AML, CML",,,L,Dom,"TSG, fusion",T,RUNX1,,,"6146,EAP,ENSG00000116251.5,L22,P35268,RPL22"
RPL5,ribososomal protein L5,6083,1:93297582-93307481,1,,22.1,yes,,T-ALL,,,L,Dom,TSG,"Mis, N, F",,yes,Diamond-Blackfan anaemia,"6083,ENSG00000122406.8,L5,P46777,PPP1R135,RPL5,uL18"
RSPO2,R-spondin 2,340419,8:108911545-109095876,1,,23.1,yes,,colorectal,,,E,Dom,"TSG, fusion",T,EIF3E,,,"340419,ENSG00000147655.6,MGC35555,Q6UXX9,RSPO2"
RUNX1,runt-related transcription factor 1  (AML1),861,21:36160098-36421641,1,,22.12,yes,,"AML, pre B-ALL, T-ALL",,,L,Dom,"oncogene, TSG, fusion",T,"RPL22, MECOM, CBFA2T3, RUNX1T1, ETV6, AFF3",,,"861,AML1,AMLCR1,CBFA2,ENSG00000159216.14,PEBP2A2,Q01196,RUNX1"
RUNX1T1,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",862,8:92972359-93107706,1,Yes,21.3,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,"KMT2A, RUNX1",,,"862,AML1T1,CBFA2T1,CDR,ENSG00000079102.12,ETO,MTG8,Q06455,RUNX1T1,ZMYND2"
SBDS,Shwachman-Bodian-Diamond syndrome protein,51119,7:66452664-66460588,1,,11.21,,yes,,"AML, MDS",Schwachman-Diamond syndrome,L,Rec,TSG,"F, N, O",,,,"51119,CGI-97,ENSG00000126524.5,FLJ10917,Q9Y3A5,SBDS,SDS,SWDS"
SDHA,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",6389,5:218356-256815,1,Yes,15.33,yes,yes,"GIST, paraganglioma",paraganglioma,paragangliomas-5 (PGL5),"M, O",Rec,TSG,"Mis, N",,,,"6389,ENSG00000073578.12,FP,P31040,SDH2,SDHA,SDHF"
SDHAF2,succinate dehydrogenase complex assembly factor 2,54949,11:61197545-61215001,1,,12.2,,yes,,paraganglioma,familial paraganglioma,M,Rec,TSG,M,,,,"54949,C11orf79,ENSG00000167985.2,FLJ20487,PGL2,Q9NX18,SDH5,SDHAF2"
SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",6390,1:17345217-17380665,1,,36.13,,yes,,"paraganglioma, pheochromocytoma",familial paraganglioma,O,Rec,TSG,"Mis, N, F",,,,"6390,ENSG00000117118.5,P21912,SDH,SDH1,SDHB"
SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",6391,1:161284047-161332984,1,,23.3,,yes,,"paraganglioma, pheochromocytoma",familial paraganglioma,O,Rec,TSG,"Mis, N, F",,,,"6391,CYB560,ENSG00000143252.10,PGL3,Q99643,SDHC,cybL"
SDHD,"succinate dehydrogenase complex, subunit D, integral membrane protein",6392,11:111957497-111966518,1,,23.1,,yes,,"paraganglioma, pheochromocytoma",familial paraganglioma,O,Rec,TSG,"Mis, N, F, S",,,,"6392,ENSG00000204370.4,O14521,PGL,PGL1,SDHD,cybS"
SETD1B,SET domain containing 1B,23067,12:122242638-122270562,2,,24.31,yes,,"CRC, endometrium",,,E,,TSG,"D, F",,,,"23067,ENSG00000139718.6,KIAA1076,KMT2G,Q9UPS6,SETD1B,Set1B"
SETD2,SET domain containing 2,29072,3:47058179-47205457,1,,21.31,yes,,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,,,"29072,ENSG00000181555.15,FLJ23184,HIF-1,HYPB,KIAA1732,KMT3A,Q9BYW2,SETD2"
SFPQ,splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated),6421,1:35648533-35658749,1,Yes,34.3,yes,,papillary renal,,,E,Dom,"TSG, fusion",T,TFE3,,,"6421,ENSG00000116560.6,P23246,PPP1R140,PSF,SFPQ"
SFRP4,secreted frizzled related protein 4,6424,7:37945543-37956517,1,,14.1,yes,,"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC",,,E,Rec,TSG,Mis,,yes,Pyle disease,"6424,ENSG00000106483.7,FRP-4,FRPHE,FRZB-2,Q6FHJ7,SFRP4,frpHE"
SH2B3,SH2B adaptor protein 3,10019,12:111843752-111889427,1,,24.12,yes,,"MPN, sAML, erythrocytosis, B-ALL",,,L,Rec,TSG,"Mis, F, N",,yes,"Coeliac disease type 13; diabetes mellitus, insulin-dependent;","10019,ENSG00000111252.6,IDDM20,LNK,Q9UQQ2,SH2B3"
SIRPA,signal regulatory protein alpha,140885,20:1875942-1920543,2,,13,yes,,"HNSCC, colorectal cancer, Lung SCC",,,E,,TSG,"O, F",,,,"140885,BIT,CD172a,ENSG00000198053.7,MFR,MYD-1,P78324,P84,PTPNS1,SHPS-1,SHPS1,SIRP,SIRP-ALPHA-1,SIRPA,SIRPalpha,SIRPalpha2"
SLC34A2,"solute carrier family 34 (sodium phosphate), member 2",10568,4:25657466-25680370,1,Yes,15.2,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,,,"10568,ENSG00000157765.7,NAPI-3B,O95436,SLC34A2"
SMAD2,SMAD family member 2,4087,18:45357922-45457512,1,Yes,21.1,yes,,"colorectal carcinoma, hepatocellular carcinoma",,,E,Rec,TSG,"Mis, N",,,,"4087,ENSG00000175387.11,JV18-1,MADH2,MADR2,Q15796,SMAD2"
SMAD3,SMAD family member 3,4088,15:67358183-67487533,1,Yes,22.33,yes,,"colorectal carcinoma, oral squamous cell carcinoma",,,E,Rec,TSG,Mis,,,,"4088,ENSG00000166949.11,HsT17436,JV15-2,MADH3,P84022,SMAD3"
SMAD4,SMAD family member 4,4089,18:48556583-48611409,1,,21.2,yes,yes,"colorectal, pancreatic, small intestine",gastrointestinal polyp,juvenile polyposis,E,Rec,TSG,"D, Mis, N, F",,,,"4089,DPC4,ENSG00000141646.9,MADH4,Q13485,SMAD4"
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",6597,19:11071677-11172958,1,,13.2,yes,,"NSCLC, SCCOHT",,,E,Rec,TSG,"F, N, Mis, S",,,,"6597,BAF190,BRG1,ENSG00000127616.13,FLJ39786,P51532,SMARCA4,SNF2,SNF2-BETA,SNF2L4,SNF2LB,SWI2,hSNF2b"
SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",6598,22:24129161-24176703,1,,11.23,yes,yes,malignant rhabdoid,malignant rhabdoid,rhabdoid predisposition syndrome,M,Rec,TSG,"D, N, F, S",,,,"6598,BAF47,ENSG00000099956.13,Ini1,PPP1R144,Q12824,RDT,SMARCB1,SNF5,SNF5L1,Sfh1p,Snr1,hSNFS"
SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",6602,12:50478755-50494495,1,,13.12,yes,,breast,,,E,Rec,TSG,N,,,,"6602,BAF60A,CRACD1,ENSG00000066117.10,Q96GM5,Rsc6p,SMARCD1"
SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",6605,17:38781214-38804760,1,,21.2,,yes,,meningioma,,O,Rec,TSG,"F, Mis, N",,,,"6605,BAF57,ENSG00000073584.14,Q969G3,SMARCE1"
SMC1A,structural maintenance of chromosomes 1A,8243,X:53401070-53449677,2,,11.22,yes,,AML,,,L,,TSG,Mis,,yes,Cornelia de Lange syndrome,"8243,DXS423E,ENSG00000072501.13,KIAA0178,Q14683,SB1.8,SMC1A,SMC1L1,Smcb"
SOCS1,suppressor of cytokine signaling 1,8651,16:11348262-11350036,1,,13.13,yes,,"Hodgkin lymphoma, PMBL",,,L,Rec,TSG,"F, O",,,,"8651,Cish1,ENSG00000185338.4,JAB,O15524,SOCS-1,SOCS1,SSI-1,TIP3"
SOX21,SRY-box 21,11166,13:95361886-95364389,2,,32.1,yes,,multiple myeloma,,,L,,TSG,D,,,,"11166,ENSG00000125285.4,Q9Y651,SOX21,SOX25"
SPEN,spen family transcriptional repressor,23013,1:16174359-16266955,1,,36.21,yes,,"SMZL, adenoid cystic carcinoma, DLBCL",,,L,Rec,TSG,"F, Mis, N",,,,"23013,ENSG00000065526.6,KIAA0929,MINT,Q96T58,RBM15C,SHARP,SPEN"
SPOP,speckle type POZ protein,8405,17:47676248-47755525,1,Yes,21.33,yes,yes,"prostate, endometrial",prostate cancer,,E,Rec,TSG,Mis,,,,"8405,BTBD32,ENSG00000121067.13,O43791,SPOP,TEF2"
STAG1,stromal antigen 1,10274,3:136055077-136471210,2,,22.3,yes,,"colorectal cancer, AML",,,"E, L",,TSG,"Mis, N",,,,"10274,ENSG00000118007.8,Q8WVM7,SA-1,SA1,SCC3A,STAG1"
STAG2,stromal antigen 2,10735,X:123094369-123235348,1,Yes,25,yes,,"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms",,,"E, L, M, O",Rec,TSG,"Mis, N, F, S",,,,"10735,ENSG00000101972.14,Q8N3U4,SA-2,SA2,SCC3B,STAG2"
STAT5B,signal transducer and activator of transcription 5B,6777,17:40351186-40428424,1,,21.2,yes,,"large granular lymphocytic leukaemia, skin basal cell, APL",,,"L, E",Dom,"oncogene, TSG, fusion","Mis, O, T",RARA,yes,IPEX-like syndrome,"6777,ENSG00000173757.5,P51692,STAT5B"
STK11,serine/threonine kinase 11 gene (LKB1),6794,19:1205740-1228428,1,,13.3,yes,yes,"NSCLC, pancreatic","jejunal hamartoma, ovarian, testicular, pancreatic",Peutz-Jeghers syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"6794,ENSG00000118046.10,LKB1,PJS,Q15831,STK11"
SUFU,suppressor of fused homolog (Drosophila),51684,10:104263744-104393292,1,,24.32,yes,yes,medulloblastoma,medulloblastoma,medulloblastoma predisposition,O,Rec,TSG,"D, F, S",,,,"51684,ENSG00000107882.7,PRO1280,Q9UMX1,SUFU,SUFUH,SUFUXL"
SUZ12,suppressor of zeste 12 homolog (Drosophila),23512,17:30264037-30328064,1,Yes,11.2,yes,,endometrial stromal tumour,,,M,Dom,"oncogene, TSG, fusion",T,JAZF1,,,"23512,CHET9,ENSG00000178691.6,JJAZ1,KIAA0160,Q15022,SUZ12"
TBL1XR1,transducin (beta)-like 1 X-linked receptor 1,79718,3:176737143-176914266,1,Yes,26.32,yes,,"splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma",,,"L, E, M",Rec,"oncogene, TSG, fusion","F, Mis",,,,"79718,C21,DC42,ENSG00000177565.11,FLJ12894,IRA1,Q9BZK7,TBL1XR1,TBLR1"
TBX3,T-box 3,6926,12:115108060-115121395,1,,24.21,yes,,"breast, large intestine, skin",,,E,Dom,"oncogene, TSG","Mis, N, F, O",,yes,ulnar-mammary syndrome,"6926,ENSG00000135111.10,O15119,TBX3,TBX3-ISO,UMS,XHL"
TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),6929,19:1609293-1652604,1,,13.3,yes,,pre B-ALL,,,L,Dom,"oncogene, TSG, fusion",T,"PBX1, HLF, TFPT",,,"6929,E2A,E47,ENSG00000071564.10,ITF1,MGC129647,MGC129648,P15923,TCF3,VDIR,bHLHb21,p75"
TENT5C,"family with sequence similarity 46, member C",54855,1:118148556-118170994,1,,12,yes,,MM,,,L,Rec,TSG,"Mis, F, O",,,,"54855,ENSG00000183508.4,FAM46C,FLJ20202,Q5VWP2,TENT5C"
TERT,telomerase reverse transcriptase,7015,5:1253282-1295162,1,Yes,15.33,yes,yes,"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types",melanoma,,"E, O",Dom,"oncogene, TSG",Promoter Mis,,yes,"Dyskeratosis congenita, Telomere-related pulmonary fibrosis and/or bone marrow failure  1","7015,ENSG00000164362.14,EST2,O14746,TCS1,TERT,TP2,TRT,hEST2"
TET1,tet methylcytosine dioxygenase 1,80312,10:70320413-70454239,1,Yes,21.3,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,KMT2A,,,"80312,CXXC6,ENSG00000138336.8,KIAA1676,LCX,Q8NFU7,TET1,bA119F7.1"
TET2,tet oncogene family member 2,54790,4:106067450-106200973,1,,24,yes,,MDS,,,L,Rec,TSG,"Mis, N, F",,,,"54790,ENSG00000168769.8,FLJ20032,KIAA1546,Q6N021,TET2"
